,carat,cut,color,clarity,depth,table,price,x,y,z
3358,0.91,Very Good,H,SI2,63.4,57.0,3382,6.1,6.18,3.89
30043,0.38,Good,F,VS2,60.3,61.0,719,4.68,4.71,2.83
44238,0.52,Ideal,H,VS2,61.8,56.0,1573,5.19,5.16,3.2
20417,1.1,Ideal,G,VS1,61.3,56.0,8775,6.65,6.69,4.09
25267,2.28,Ideal,G,SI2,61.6,57.0,13907,8.44,8.37,5.18
24631,2.01,Very Good,J,VS2,60.8,58.0,12968,8.08,8.16,4.94
8767,1.06,Ideal,G,SI2,62.2,57.0,4467,6.51,6.49,4.04
51193,0.7,Premium,E,SI1,60.1,58.0,2349,5.81,5.83,3.5
51368,0.73,Premium,I,VS2,59.7,59.0,2365,5.94,5.81,3.51
3345,0.73,Ideal,H,IF,61.6,55.0,3378,5.8,5.82,3.58
15966,1.0,Good,D,VS2,64.1,58.0,6389,6.24,6.33,4.03
31068,0.33,Ideal,G,VVS2,60.1,57.0,752,4.48,4.51,2.7
45888,0.54,Ideal,J,VVS2,61.6,57.0,1720,5.25,5.23,3.23
37835,0.33,Ideal,D,VS2,61.9,53.0,1002,4.49,4.46,2.77
45425,0.51,Fair,D,VS2,64.4,54.0,1668,5.06,5.03,3.25
42735,0.51,Ideal,E,SI1,62.4,55.0,1343,5.09,5.14,3.19
59,0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7
27616,2.66,Good,H,SI2,64.3,60.0,18495,8.71,8.65,5.58
6392,0.92,Premium,F,SI1,61.8,59.0,4037,6.21,6.25,3.85
33842,0.3,Ideal,G,IF,62.2,55.0,844,4.3,4.32,2.68
11360,1.0,Very Good,H,SI1,62.0,54.0,4995,6.43,6.47,4.0
30728,0.34,Very Good,F,VS1,61.1,57.0,739,4.51,4.54,2.76
8469,1.01,Very Good,F,SI2,62.4,58.0,4416,6.37,6.41,3.99
13837,0.87,Ideal,F,VS1,62.0,55.0,5640,6.1,6.13,3.79
13075,1.26,Premium,D,SI2,61.9,58.0,5412,6.88,6.81,4.24
37790,0.38,Premium,E,VS1,60.2,58.0,1000,4.66,4.71,2.82
52872,0.55,Ideal,F,VVS2,62.3,54.0,2581,5.29,5.27,3.29
44695,0.65,Premium,G,SI1,61.9,58.0,1612,5.54,5.51,3.42
40979,0.41,Premium,D,VVS2,62.2,58.0,1181,4.8,4.78,2.98
41548,0.7,Very Good,I,I1,63.2,59.0,1235,5.62,5.59,3.54
13196,1.03,Very Good,I,VS1,62.9,53.0,5455,6.45,6.5,4.07
34010,0.34,Ideal,F,VVS2,61.3,56.0,848,4.52,4.56,2.78
52262,0.73,Ideal,I,VVS1,61.7,53.0,2490,5.8,5.84,3.59
2548,0.83,Ideal,D,SI2,62.1,56.0,3207,6.0,6.04,3.74
41369,0.51,Very Good,G,SI1,63.0,53.0,1220,5.1,5.13,3.22
20874,1.06,Ideal,E,VS2,61.3,57.0,9092,6.54,6.57,4.02
40556,0.41,Ideal,D,VS1,61.8,57.0,1151,4.75,4.8,2.95
16176,1.03,Ideal,F,VS2,60.4,56.0,6467,6.59,6.56,3.97
1052,0.32,Ideal,D,SI1,61.3,55.0,558,4.41,4.46,2.72
42952,0.3,Premium,J,VS1,62.6,58.0,506,4.32,4.27,2.69
32387,0.32,Very Good,D,VVS2,60.1,58.0,791,4.41,4.44,2.66
28347,0.33,Ideal,G,VS1,61.7,56.0,666,4.44,4.47,2.75
29308,0.25,Ideal,G,VS1,62.7,54.0,438,4.05,4.08,2.55
30452,0.3,Ideal,F,VS1,61.0,56.0,731,4.37,4.35,2.66
25393,1.26,Very Good,F,IF,60.0,60.0,14095,7.04,7.09,4.24
12805,1.14,Ideal,J,VS1,61.6,56.0,5339,6.71,6.73,4.14
18907,1.51,Premium,H,SI1,62.8,60.0,7759,7.22,7.14,4.51
39834,0.51,Very Good,E,SI2,62.0,57.0,1098,5.09,5.13,3.17
35892,0.32,Ideal,G,IF,61.0,57.0,918,4.44,4.48,2.72
5103,0.94,Premium,E,SI2,60.4,59.0,3758,6.37,6.34,3.84
45295,0.51,Premium,E,VS2,60.6,58.0,1662,5.15,5.12,3.11
5137,1.12,Ideal,H,SI2,61.4,56.0,3763,6.69,6.66,4.1
16782,1.33,Premium,G,SI2,60.3,58.0,6685,7.19,7.16,4.33
42623,0.32,Premium,H,VS2,61.7,59.0,505,4.35,4.4,2.7
1291,0.7,Ideal,E,VS2,62.6,57.0,2952,5.63,5.68,3.54
22585,1.35,Ideal,H,VVS1,61.9,57.0,10639,7.06,7.09,4.38
30276,0.23,Good,F,VS2,63.8,57.0,447,3.93,3.84,2.48
50040,0.9,Very Good,F,I1,61.9,59.0,2199,6.16,6.18,3.82
16547,1.03,Ideal,D,SI1,61.3,56.0,6610,6.48,6.54,3.99
5473,1.02,Good,E,SI2,62.8,64.0,3838,6.36,6.32,3.98
46802,0.55,Ideal,H,VVS2,61.7,57.0,1806,5.28,5.26,3.25
